;PC Software:StarLab Version 3.93 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:05/05/2026 at 16:58:39
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:10:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A-P-V1 (s/n:619511)  VG2.54 (s/n:798746)

;Channel A:Details
;Name:3A-P-V1
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:>800
;Settings:Range:3.00mW

;Channel A:Statistics
;Min:2.275mW             
;Max:2.295mW             
;Average:2.284mW             
;Std.Dev.:2.731uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 05/05/2026 at 16:58:39
  Timestamp   	  Channel A  	
         0.000	  2.295e-03 	
         0.064	  2.295e-03 	
         0.128	  2.295e-03 	
         0.192	  2.295e-03 	
         0.256	  2.295e-03 	
         0.351	  2.295e-03 	
         0.416	  2.294e-03 	
         0.480	  2.294e-03 	
         0.544	  2.294e-03 	
         0.607	  2.294e-03 	
         0.671	  2.294e-03 	
         0.736	  2.294e-03 	
         0.799	  2.294e-03 	
         0.863	  2.294e-03 	
         0.928	  2.294e-03 	
         0.991	  2.294e-03 	
         1.055	  2.294e-03 	
         1.152	  2.294e-03 	
         1.216	  2.294e-03 	
         1.280	  2.294e-03 	
         1.344	  2.294e-03 	
         1.408	  2.294e-03 	
         1.472	  2.294e-03 	
         1.536	  2.294e-03 	
         1.599	  2.294e-03 	
         1.663	  2.294e-03 	
         1.727	  2.294e-03 	
         1.792	  2.294e-03 	
         1.855	  2.294e-03 	
         1.952	  2.294e-03 	
         2.016	  2.294e-03 	
         2.080	  2.294e-03 	
         2.144	  2.294e-03 	
         2.208	  2.294e-03 	
         2.272	  2.294e-03 	
         2.336	  2.294e-03 	
         2.400	  2.293e-03 	
         2.464	  2.293e-03 	
         2.527	  2.293e-03 	
         2.592	  2.293e-03 	
         2.656	  2.293e-03 	
         2.751	  2.293e-03 	
         2.815	  2.293e-03 	
         2.879	  2.293e-03 	
         2.944	  2.293e-03 	
         3.008	  2.293e-03 	
         3.071	  2.293e-03 	
         3.135	  2.293e-03 	
         3.200	  2.293e-03 	
         3.264	  2.293e-03 	
         3.328	  2.293e-03 	
         3.391	  2.293e-03 	
         3.456	  2.293e-03 	
         3.551	  2.293e-03 	
         3.615	  2.293e-03 	
         3.679	  2.293e-03 	
         3.743	  2.293e-03 	
         3.807	  2.293e-03 	
         3.872	  2.293e-03 	
         3.935	  2.293e-03 	
         3.999	  2.293e-03 	
         4.063	  2.293e-03 	
         4.128	  2.293e-03 	
         4.191	  2.293e-03 	
         4.255	  2.293e-03 	
         4.351	  2.293e-03 	
         4.416	  2.293e-03 	
         4.479	  2.293e-03 	
         4.543	  2.294e-03 	
         4.607	  2.294e-03 	
         4.671	  2.294e-03 	
         4.735	  2.294e-03 	
         4.799	  2.294e-03 	
         4.864	  2.294e-03 	
         4.927	  2.294e-03 	
         4.992	  2.294e-03 	
         5.056	  2.294e-03 	
         5.120	  2.294e-03 	
         5.216	  2.293e-03 	
         5.280	  2.293e-03 	
         5.344	  2.293e-03 	
         5.408	  2.293e-03 	
         5.472	  2.292e-03 	
         5.536	  2.292e-03 	
         5.600	  2.292e-03 	
         5.664	  2.292e-03 	
         5.728	  2.292e-03 	
         5.791	  2.291e-03 	
         5.855	  2.291e-03 	
         5.919	  2.291e-03 	
         6.015	  2.291e-03 	
         6.079	  2.291e-03 	
         6.144	  2.291e-03 	
         6.207	  2.291e-03 	
         6.271	  2.291e-03 	
         6.336	  2.291e-03 	
         6.399	  2.291e-03 	
         6.463	  2.291e-03 	
         6.528	  2.291e-03 	
         6.592	  2.291e-03 	
         6.656	  2.291e-03 	
         6.720	  2.291e-03 	
         6.816	  2.291e-03 	
         6.880	  2.291e-03 	
         6.944	  2.291e-03 	
         7.008	  2.291e-03 	
         7.072	  2.291e-03 	
         7.135	  2.291e-03 	
         7.199	  2.291e-03 	
         7.263	  2.291e-03 	
         7.327	  2.291e-03 	
         7.391	  2.291e-03 	
         7.455	  2.291e-03 	
         7.519	  2.291e-03 	
         7.615	  2.291e-03 	
         7.679	  2.291e-03 	
         7.744	  2.291e-03 	
         7.808	  2.291e-03 	
         7.872	  2.291e-03 	
         7.935	  2.291e-03 	
         7.999	  2.291e-03 	
         8.063	  2.291e-03 	
         8.127	  2.291e-03 	
         8.191	  2.291e-03 	
         8.255	  2.291e-03 	
         8.319	  2.291e-03 	
         8.415	  2.291e-03 	
         8.479	  2.291e-03 	
         8.543	  2.291e-03 	
         8.607	  2.291e-03 	
         8.671	  2.291e-03 	
         8.735	  2.291e-03 	
         8.799	  2.291e-03 	
         8.863	  2.291e-03 	
         8.927	  2.291e-03 	
         8.991	  2.291e-03 	
         9.055	  2.291e-03 	
         9.119	  2.291e-03 	
         9.215	  2.291e-03 	
         9.279	  2.291e-03 	
