;PC Software:StarLab Version 3.93 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:05/05/2026 at 16:03:58
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:10:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A-P-V1 (s/n:619511)  VG2.54 (s/n:798746)

;Channel A:Details
;Name:3A-P-V1
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:>800
;Settings:Range:3.00mW

;Channel A:Statistics
;Min:2.683mW             
;Max:2.918mW             
;Average:2.840mW             
;Std.Dev.:57.53uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 05/05/2026 at 16:03:58
  Timestamp   	  Channel A  	
         0.000	  2.685e-03 	
         0.065	  2.684e-03 	
         0.128	  2.684e-03 	
         0.192	  2.684e-03 	
         0.289	  2.683e-03 	
         0.353	  2.684e-03 	
         0.417	  2.684e-03 	
         0.481	  2.684e-03 	
         0.544	  2.685e-03 	
         0.608	  2.685e-03 	
         0.672	  2.686e-03 	
         0.736	  2.687e-03 	
         0.800	  2.687e-03 	
         0.864	  2.688e-03 	
         0.928	  2.689e-03 	
         0.992	  2.690e-03 	
         1.088	  2.690e-03 	
         1.152	  2.691e-03 	
         1.216	  2.691e-03 	
         1.280	  2.692e-03 	
         1.344	  2.693e-03 	
         1.408	  2.693e-03 	
         1.472	  2.693e-03 	
         1.536	  2.694e-03 	
         1.600	  2.694e-03 	
         1.664	  2.694e-03 	
         1.728	  2.694e-03 	
         1.792	  2.695e-03 	
         1.888	  2.695e-03 	
         1.952	  2.695e-03 	
         2.016	  2.695e-03 	
         2.080	  2.695e-03 	
         2.144	  2.695e-03 	
         2.208	  2.695e-03 	
         2.272	  2.695e-03 	
         2.336	  2.695e-03 	
         2.401	  2.695e-03 	
         2.464	  2.695e-03 	
         2.529	  2.695e-03 	
         2.592	  2.695e-03 	
         2.688	  2.695e-03 	
         2.752	  2.696e-03 	
         2.816	  2.696e-03 	
         2.880	  2.697e-03 	
         2.944	  2.697e-03 	
         3.008	  2.697e-03 	
         3.072	  2.698e-03 	
         3.136	  2.698e-03 	
         3.200	  2.699e-03 	
         3.264	  2.699e-03 	
         3.328	  2.699e-03 	
         3.392	  2.700e-03 	
         3.488	  2.700e-03 	
         3.552	  2.700e-03 	
         3.616	  2.700e-03 	
         3.681	  2.700e-03 	
         3.744	  2.700e-03 	
         3.808	  2.700e-03 	
         3.872	  2.699e-03 	
         3.936	  2.699e-03 	
         4.000	  2.698e-03 	
         4.064	  2.697e-03 	
         4.128	  2.696e-03 	
         4.192	  2.695e-03 	
         4.288	  2.694e-03 	
         4.352	  2.694e-03 	
         4.416	  2.693e-03 	
         4.480	  2.692e-03 	
         4.544	  2.692e-03 	
         4.609	  2.691e-03 	
         4.673	  2.691e-03 	
         4.736	  2.691e-03 	
         4.801	  2.691e-03 	
         4.865	  2.691e-03 	
         4.929	  2.691e-03 	
         4.992	  2.692e-03 	
         5.088	  2.692e-03 	
         5.152	  2.693e-03 	
         5.216	  2.693e-03 	
         5.281	  2.694e-03 	
         5.344	  2.695e-03 	
         5.409	  2.695e-03 	
         5.473	  2.696e-03 	
         5.536	  2.697e-03 	
         5.601	  2.697e-03 	
         5.664	  2.698e-03 	
         5.728	  2.699e-03 	
         5.792	  2.699e-03 	
         5.888	  2.700e-03 	
         5.952	  2.700e-03 	
         6.016	  2.700e-03 	
         6.080	  2.701e-03 	
         6.144	  2.701e-03 	
         6.209	  2.701e-03 	
         6.272	  2.701e-03 	
         6.337	  2.701e-03 	
         6.401	  2.701e-03 	
         6.464	  2.701e-03 	
         6.528	  2.701e-03 	
         6.592	  2.701e-03 	
         6.656	  2.701e-03 	
         6.752	  2.701e-03 	
         6.816	  2.701e-03 	
         6.880	  2.701e-03 	
         6.944	  2.701e-03 	
         7.008	  2.701e-03 	
         7.072	  2.701e-03 	
         7.136	  2.702e-03 	
         7.200	  2.702e-03 	
         7.264	  2.702e-03 	
         7.328	  2.702e-03 	
         7.392	  2.703e-03 	
         7.456	  2.703e-03 	
         7.552	  2.703e-03 	
         7.616	  2.704e-03 	
         7.680	  2.704e-03 	
         7.744	  2.705e-03 	
         7.808	  2.705e-03 	
         7.872	  2.705e-03 	
         7.936	  2.706e-03 	
         8.000	  2.706e-03 	
         8.064	  2.706e-03 	
         8.128	  2.706e-03 	
         8.192	  2.706e-03 	
         8.256	  2.705e-03 	
         8.352	  2.704e-03 	
         8.416	  2.704e-03 	
         8.480	  2.703e-03 	
