;PC Software:StarLab Version 3.93 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/06/2026 at 14:30:23
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:10:00
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A-P-V1 (s/n:619511)  VG2.54 (s/n:660405)

;Channel A:Details
;Name:3A-P-V1
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:>800
;Settings:Range:3.00mW

;Channel A:Statistics
;Min:3.067mW             
;Max:3.164mW             
;Average:3.116mW             
;Std.Dev.:20.03uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/06/2026 at 14:30:23
  Timestamp   	  Channel A  	
         0.000	  3.103e-03 	
         1.056	  3.095e-03 	
         2.016	  3.083e-03 	
         3.008	  3.082e-03 	
         4.000	  3.090e-03 	
         5.056	  3.098e-03 	
         6.016	  3.099e-03 	
         7.008	  3.105e-03 	
         8.000	  3.102e-03 	
         9.056	  3.098e-03 	
        10.016	  3.100e-03 	
        11.008	  3.102e-03 	
        12.000	  3.102e-03 	
        13.056	  3.099e-03 	
        14.016	  3.095e-03 	
        15.008	  3.090e-03 	
        16.000	  3.089e-03 	
        17.056	  3.089e-03 	
        18.016	  3.090e-03 	
        19.008	  3.092e-03 	
        20.000	  3.094e-03 	
        21.056	  3.091e-03 	
        22.016	  3.091e-03 	
        23.008	  3.091e-03 	
        24.000	  3.092e-03 	
        25.056	  3.093e-03 	
        26.080	  3.093e-03 	
        27.008	  3.093e-03 	
        28.000	  3.095e-03 	
        29.056	  3.097e-03 	
        30.080	  3.098e-03 	
        31.008	  3.100e-03 	
        32.000	  3.101e-03 	
        33.056	  3.102e-03 	
        34.080	  3.103e-03 	
        35.008	  3.105e-03 	
        36.000	  3.106e-03 	
        37.056	  3.108e-03 	
        38.080	  3.110e-03 	
