;PC Software:StarLab Version 3.93 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:05/05/2026 at 16:42:07
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:10:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A-P-V1 (s/n:619511)  VG2.54 (s/n:798746)

;Channel A:Details
;Name:3A-P-V1
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:>800
;Settings:Range:3.00mW

;Channel A:Statistics
;Min:2.533mW             
;Max:2.666mW             
;Average:2.614mW             
;Std.Dev.:29.85uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 05/05/2026 at 16:42:08
  Timestamp   	  Channel A  	
         0.000	  2.538e-03 	
         0.064	  2.537e-03 	
         0.129	  2.537e-03 	
         0.224	  2.537e-03 	
         0.288	  2.537e-03 	
         0.352	  2.537e-03 	
         0.416	  2.536e-03 	
         0.480	  2.536e-03 	
         0.544	  2.536e-03 	
         0.608	  2.536e-03 	
         0.672	  2.536e-03 	
         0.736	  2.535e-03 	
         0.800	  2.535e-03 	
         0.865	  2.535e-03 	
         0.928	  2.536e-03 	
         1.024	  2.536e-03 	
         1.089	  2.536e-03 	
         1.153	  2.537e-03 	
         1.217	  2.537e-03 	
         1.281	  2.538e-03 	
         1.345	  2.538e-03 	
         1.408	  2.539e-03 	
         1.471	  2.539e-03 	
         1.536	  2.540e-03 	
         1.600	  2.540e-03 	
         1.664	  2.540e-03 	
         1.729	  2.540e-03 	
         1.824	  2.540e-03 	
         1.888	  2.540e-03 	
         1.952	  2.540e-03 	
         2.016	  2.540e-03 	
         2.080	  2.540e-03 	
         2.145	  2.539e-03 	
         2.209	  2.538e-03 	
         2.273	  2.538e-03 	
         2.337	  2.537e-03 	
         2.401	  2.536e-03 	
         2.464	  2.536e-03 	
         2.529	  2.535e-03 	
         2.624	  2.534e-03 	
         2.689	  2.534e-03 	
         2.753	  2.533e-03 	
         2.816	  2.533e-03 	
         2.881	  2.533e-03 	
         2.944	  2.533e-03 	
         3.008	  2.533e-03 	
         3.073	  2.533e-03 	
         3.137	  2.533e-03 	
         3.200	  2.533e-03 	
         3.264	  2.534e-03 	
         3.329	  2.534e-03 	
         3.425	  2.535e-03 	
         3.489	  2.536e-03 	
         3.553	  2.537e-03 	
         3.617	  2.537e-03 	
         3.680	  2.538e-03 	
         3.745	  2.539e-03 	
