;PC Software:StarLab Version 3.93 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:09/06/2026 at 12:04:19
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:10:00
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A-P-V1 (s/n:619511)  VG2.54 (s/n:660405)

;Channel A:Details
;Name:3A-P-V1
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Laser:>800
;Settings:Range:3.00mW

;Channel A:Statistics
;Min:1.253mW             
;Max:1.391mW             
;Average:1.313mW             
;Std.Dev.:24.75uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/06/2026 at 12:04:19
  Timestamp   	  Channel A  	
         0.000	  1.283e-03 	
         1.024	  1.276e-03 	
         2.048	  1.258e-03 	
         3.040	  1.253e-03 	
         4.032	  1.259e-03 	
         5.025	  1.276e-03 	
         6.048	  1.289e-03 	
         7.040	  1.291e-03 	
         8.032	  1.291e-03 	
         9.024	  1.291e-03 	
        10.048	  1.292e-03 	
        11.040	  1.296e-03 	
        12.032	  1.299e-03 	
        13.024	  1.299e-03 	
        14.048	  1.301e-03 	
        15.040	  1.304e-03 	
        16.032	  1.302e-03 	
        17.024	  1.301e-03 	
        18.016	  1.301e-03 	
        19.040	  1.302e-03 	
        20.032	  1.302e-03 	
        21.024	  1.302e-03 	
        22.016	  1.303e-03 	
        23.040	  1.303e-03 	
        24.032	  1.301e-03 	
        25.024	  1.300e-03 	
        26.016	  1.298e-03 	
        27.040	  1.294e-03 	
        28.032	  1.291e-03 	
        29.024	  1.291e-03 	
        30.016	  1.290e-03 	
        31.040	  1.292e-03 	
        32.032	  1.295e-03 	
        33.024	  1.303e-03 	
        34.016	  1.313e-03 	
        35.040	  1.316e-03 	
        36.032	  1.306e-03 	
        37.024	  1.301e-03 	
        38.016	  1.309e-03 	
        39.040	  1.316e-03 	
        40.032	  1.318e-03 	
        41.024	  1.318e-03 	
        42.016	  1.319e-03 	
        43.040	  1.316e-03 	
        44.032	  1.309e-03 	
        45.024	  1.310e-03 	
        46.016	  1.314e-03 	
        47.040	  1.314e-03 	
        48.032	  1.315e-03 	
        49.024	  1.314e-03 	
        50.016	  1.313e-03 	
        51.040	  1.312e-03 	
        52.032	  1.313e-03 	
        53.024	  1.314e-03 	
