z1_new_m	d2_new_long_m
1.000000e-03	8.631061e-05
1.010000e-03	8.627327e-05
1.020000e-03	8.623593e-05
1.030000e-03	8.619859e-05
1.040000e-03	8.616126e-05
1.050000e-03	8.612392e-05
1.060000e-03	8.608658e-05
1.070000e-03	8.604924e-05
1.080000e-03	8.601190e-05
1.090000e-03	8.597457e-05
1.100000e-03	8.593723e-05
1.110000e-03	8.589989e-05
1.120000e-03	8.586255e-05
1.130000e-03	8.582522e-05
1.140000e-03	8.578788e-05
1.150000e-03	8.575054e-05
1.160000e-03	8.571320e-05
1.170000e-03	8.567587e-05
1.180000e-03	8.563853e-05
1.190000e-03	8.560119e-05
1.200000e-03	8.556385e-05
1.210000e-03	8.552652e-05
1.220000e-03	8.548918e-05
1.230000e-03	8.545184e-05
1.240000e-03	8.541450e-05
1.250000e-03	8.537717e-05
1.260000e-03	8.533983e-05
1.270000e-03	8.530249e-05
1.280000e-03	8.526515e-05
1.290000e-03	8.522782e-05
1.300000e-03	8.519048e-05
1.310000e-03	8.515314e-05
1.320000e-03	8.511580e-05
1.330000e-03	8.507846e-05
1.340000e-03	8.504113e-05
1.350000e-03	8.500379e-05
1.360000e-03	8.496645e-05
1.370000e-03	8.492911e-05
1.380000e-03	8.489178e-05
1.390000e-03	8.485444e-05
1.400000e-03	8.481710e-05
1.410000e-03	8.477976e-05
1.420000e-03	8.474243e-05
1.430000e-03	8.470509e-05
1.440000e-03	8.466775e-05
1.450000e-03	8.463041e-05
1.460000e-03	8.459308e-05
1.470000e-03	8.455574e-05
1.480000e-03	8.451840e-05
1.490000e-03	8.448106e-05
1.500000e-03	8.444373e-05
1.510000e-03	8.440639e-05
1.520000e-03	8.436905e-05
1.530000e-03	8.433171e-05
1.540000e-03	8.429438e-05
1.550000e-03	8.425704e-05
1.560000e-03	8.421970e-05
1.570000e-03	8.418236e-05
1.580000e-03	8.414503e-05
1.590000e-03	8.410769e-05
1.600000e-03	8.407035e-05
1.610000e-03	8.403301e-05
1.620000e-03	8.399567e-05
1.630000e-03	8.395834e-05
1.640000e-03	8.392100e-05
1.650000e-03	8.388366e-05
1.660000e-03	8.384632e-05
1.670000e-03	8.380899e-05
1.680000e-03	8.377165e-05
1.690000e-03	8.373431e-05
1.700000e-03	8.369697e-05
1.710000e-03	8.365964e-05
1.720000e-03	8.362230e-05
1.730000e-03	8.358496e-05
1.740000e-03	8.354762e-05
1.750000e-03	8.351029e-05
1.760000e-03	8.347295e-05
1.770000e-03	8.343561e-05
1.780000e-03	8.339827e-05
1.790000e-03	8.336094e-05
1.800000e-03	8.332360e-05
1.810000e-03	8.328626e-05
1.820000e-03	8.324892e-05
1.830000e-03	8.321159e-05
1.840000e-03	8.317425e-05
1.850000e-03	8.313691e-05
1.860000e-03	8.309957e-05
1.870000e-03	8.306223e-05
1.880000e-03	8.302490e-05
1.890000e-03	8.298756e-05
1.900000e-03	8.295022e-05
1.910000e-03	8.291288e-05
1.920000e-03	8.287555e-05
1.930000e-03	8.283821e-05
1.940000e-03	8.280087e-05
1.950000e-03	8.276353e-05
1.960000e-03	8.272620e-05
1.970000e-03	8.268886e-05
1.980000e-03	8.265152e-05
1.990000e-03	8.261418e-05
2.000000e-03	8.257685e-05
2.010000e-03	8.254033e-05
2.020000e-03	8.250382e-05
2.030000e-03	8.246731e-05
2.040000e-03	8.243080e-05
2.050000e-03	8.239429e-05
2.060000e-03	8.235778e-05
2.070000e-03	8.232127e-05
2.080000e-03	8.228476e-05
2.090000e-03	8.224824e-05
2.100000e-03	8.221173e-05
2.110000e-03	8.217522e-05
2.120000e-03	8.213871e-05
2.130000e-03	8.210220e-05
2.140000e-03	8.206569e-05
2.150000e-03	8.202918e-05
2.160000e-03	8.199267e-05
2.170000e-03	8.195615e-05
2.180000e-03	8.191964e-05
2.190000e-03	8.188313e-05
2.200000e-03	8.184662e-05
2.210000e-03	8.181011e-05
2.220000e-03	8.177360e-05
2.230000e-03	8.173709e-05
2.240000e-03	8.170058e-05
2.250000e-03	8.166406e-05
2.260000e-03	8.162755e-05
2.270000e-03	8.159104e-05
2.280000e-03	8.155453e-05
2.290000e-03	8.151802e-05
2.300000e-03	8.148151e-05
2.310000e-03	8.144500e-05
2.320000e-03	8.140849e-05
2.330000e-03	8.137197e-05
2.340000e-03	8.133546e-05
2.350000e-03	8.129895e-05
2.360000e-03	8.126244e-05
2.370000e-03	8.122593e-05
2.380000e-03	8.118942e-05
2.390000e-03	8.115291e-05
2.400000e-03	8.111640e-05
2.410000e-03	8.107988e-05
2.420000e-03	8.104337e-05
2.430000e-03	8.100686e-05
2.440000e-03	8.097035e-05
2.450000e-03	8.093384e-05
2.460000e-03	8.089733e-05
2.470000e-03	8.086082e-05
2.480000e-03	8.082431e-05
2.490000e-03	8.078779e-05
2.500000e-03	8.075128e-05
2.510000e-03	8.071477e-05
2.520000e-03	8.067826e-05
2.530000e-03	8.064175e-05
2.540000e-03	8.060524e-05
2.550000e-03	8.056873e-05
2.560000e-03	8.053222e-05
2.570000e-03	8.049570e-05
2.580000e-03	8.045919e-05
2.590000e-03	8.042268e-05
2.600000e-03	8.038617e-05
2.610000e-03	8.034966e-05
2.620000e-03	8.031315e-05
2.630000e-03	8.027664e-05
2.640000e-03	8.024013e-05
2.650000e-03	8.020361e-05
2.660000e-03	8.016710e-05
2.670000e-03	8.013059e-05
2.680000e-03	8.009408e-05
2.690000e-03	8.005757e-05
2.700000e-03	8.002106e-05
2.710000e-03	7.998455e-05
2.720000e-03	7.994804e-05
2.730000e-03	7.991152e-05
2.740000e-03	7.987501e-05
2.750000e-03	7.983850e-05
2.760000e-03	7.980199e-05
2.770000e-03	7.976548e-05
2.780000e-03	7.972897e-05
2.790000e-03	7.969246e-05
2.800000e-03	7.965595e-05
2.810000e-03	7.961943e-05
2.820000e-03	7.958292e-05
2.830000e-03	7.954641e-05
2.840000e-03	7.950990e-05
2.850000e-03	7.947339e-05
2.860000e-03	7.943688e-05
2.870000e-03	7.940037e-05
2.880000e-03	7.936386e-05
2.890000e-03	7.932734e-05
2.900000e-03	7.929083e-05
2.910000e-03	7.925432e-05
2.920000e-03	7.921781e-05
2.930000e-03	7.918130e-05
2.940000e-03	7.914479e-05
2.950000e-03	7.910828e-05
2.960000e-03	7.907177e-05
2.970000e-03	7.903525e-05
2.980000e-03	7.899874e-05
2.990000e-03	7.896223e-05
3.000000e-03	7.892572e-05
3.010000e-03	7.889016e-05
3.020000e-03	7.885459e-05
3.030000e-03	7.881903e-05
3.040000e-03	7.878346e-05
3.050000e-03	7.874790e-05
3.060000e-03	7.871233e-05
3.070000e-03	7.867677e-05
3.080000e-03	7.864120e-05
3.090000e-03	7.860564e-05
3.100000e-03	7.857007e-05
3.110000e-03	7.853451e-05
3.120000e-03	7.849894e-05
3.130000e-03	7.846338e-05
3.140000e-03	7.842781e-05
3.150000e-03	7.839225e-05
3.160000e-03	7.835668e-05
3.170000e-03	7.832112e-05
3.180000e-03	7.828555e-05
3.190000e-03	7.824999e-05
3.200000e-03	7.821442e-05
3.210000e-03	7.817886e-05
3.220000e-03	7.814329e-05
3.230000e-03	7.810773e-05
3.240000e-03	7.807216e-05
3.250000e-03	7.803660e-05
3.260000e-03	7.800104e-05
3.270000e-03	7.796547e-05
3.280000e-03	7.792991e-05
3.290000e-03	7.789434e-05
3.300000e-03	7.785878e-05
3.310000e-03	7.782321e-05
3.320000e-03	7.778765e-05
3.330000e-03	7.775208e-05
3.340000e-03	7.771652e-05
3.350000e-03	7.768095e-05
3.360000e-03	7.764539e-05
3.370000e-03	7.760982e-05
3.380000e-03	7.757426e-05
3.390000e-03	7.753869e-05
3.400000e-03	7.750313e-05
3.410000e-03	7.746756e-05
3.420000e-03	7.743200e-05
3.430000e-03	7.739643e-05
3.440000e-03	7.736087e-05
3.450000e-03	7.732530e-05
3.460000e-03	7.728974e-05
3.470000e-03	7.725417e-05
3.480000e-03	7.721861e-05
3.490000e-03	7.718304e-05
3.500000e-03	7.714748e-05
3.510000e-03	7.711191e-05
3.520000e-03	7.707635e-05
3.530000e-03	7.704078e-05
3.540000e-03	7.700522e-05
3.550000e-03	7.696966e-05
3.560000e-03	7.693409e-05
3.570000e-03	7.689853e-05
3.580000e-03	7.686296e-05
3.590000e-03	7.682740e-05
3.600000e-03	7.679183e-05
3.610000e-03	7.675627e-05
3.620000e-03	7.672070e-05
3.630000e-03	7.668514e-05
3.640000e-03	7.664957e-05
3.650000e-03	7.661401e-05
3.660000e-03	7.657844e-05
3.670000e-03	7.654288e-05
