z1_new_m	d2_new_long_m
1.000000e-03	7.050001e-05
1.010000e-03	7.047629e-05
1.020000e-03	7.045256e-05
1.030000e-03	7.042884e-05
1.040000e-03	7.040512e-05
1.050000e-03	7.038139e-05
1.060000e-03	7.035767e-05
1.070000e-03	7.033395e-05
1.080000e-03	7.031022e-05
1.090000e-03	7.028650e-05
1.100000e-03	7.026278e-05
1.110000e-03	7.023905e-05
1.120000e-03	7.021533e-05
1.130000e-03	7.019161e-05
1.140000e-03	7.016788e-05
1.150000e-03	7.014416e-05
1.160000e-03	7.012044e-05
1.170000e-03	7.009671e-05
1.180000e-03	7.007299e-05
1.190000e-03	7.004927e-05
1.200000e-03	7.002554e-05
1.210000e-03	7.000182e-05
1.220000e-03	6.997810e-05
1.230000e-03	6.995437e-05
1.240000e-03	6.993065e-05
1.250000e-03	6.990693e-05
1.260000e-03	6.988320e-05
1.270000e-03	6.985948e-05
1.280000e-03	6.983576e-05
1.290000e-03	6.981203e-05
1.300000e-03	6.978831e-05
1.310000e-03	6.976459e-05
1.320000e-03	6.974086e-05
1.330000e-03	6.971714e-05
1.340000e-03	6.969342e-05
1.350000e-03	6.966969e-05
1.360000e-03	6.964597e-05
1.370000e-03	6.962225e-05
1.380000e-03	6.959852e-05
1.390000e-03	6.957480e-05
1.400000e-03	6.955108e-05
1.410000e-03	6.952735e-05
1.420000e-03	6.950363e-05
1.430000e-03	6.947991e-05
1.440000e-03	6.945618e-05
1.450000e-03	6.943246e-05
1.460000e-03	6.940874e-05
1.470000e-03	6.938501e-05
1.480000e-03	6.936129e-05
1.490000e-03	6.933757e-05
1.500000e-03	6.931384e-05
1.510000e-03	6.929012e-05
1.520000e-03	6.926640e-05
1.530000e-03	6.924267e-05
1.540000e-03	6.921895e-05
1.550000e-03	6.919523e-05
1.560000e-03	6.917150e-05
1.570000e-03	6.914778e-05
1.580000e-03	6.912406e-05
1.590000e-03	6.910033e-05
1.600000e-03	6.907661e-05
1.610000e-03	6.905289e-05
1.620000e-03	6.902916e-05
1.630000e-03	6.900544e-05
1.640000e-03	6.898172e-05
1.650000e-03	6.895799e-05
1.660000e-03	6.893427e-05
1.670000e-03	6.891055e-05
1.680000e-03	6.888682e-05
1.690000e-03	6.886310e-05
1.700000e-03	6.883938e-05
1.710000e-03	6.881565e-05
1.720000e-03	6.879193e-05
1.730000e-03	6.876821e-05
1.740000e-03	6.874448e-05
1.750000e-03	6.872076e-05
1.760000e-03	6.869704e-05
1.770000e-03	6.867331e-05
1.780000e-03	6.864959e-05
1.790000e-03	6.862587e-05
1.800000e-03	6.860214e-05
1.810000e-03	6.857842e-05
1.820000e-03	6.855470e-05
1.830000e-03	6.853097e-05
1.840000e-03	6.850725e-05
1.850000e-03	6.848353e-05
1.860000e-03	6.845980e-05
1.870000e-03	6.843608e-05
1.880000e-03	6.841236e-05
1.890000e-03	6.838863e-05
1.900000e-03	6.836491e-05
1.910000e-03	6.834119e-05
1.920000e-03	6.831746e-05
1.930000e-03	6.829374e-05
1.940000e-03	6.827002e-05
