z1_new_m	d2_new_long_m
-4.000000e-03	6.975508e-04
-3.990000e-03	6.967347e-04
-3.980000e-03	6.959187e-04
-3.970000e-03	6.951026e-04
-3.960000e-03	6.942866e-04
-3.950000e-03	6.934705e-04
-3.940000e-03	6.926545e-04
-3.930000e-03	6.918384e-04
-3.920000e-03	6.910224e-04
-3.910000e-03	6.902063e-04
-3.900000e-03	6.893903e-04
-3.890000e-03	6.885742e-04
-3.880000e-03	6.877582e-04
-3.870000e-03	6.869421e-04
-3.860000e-03	6.861261e-04
-3.850000e-03	6.853100e-04
-3.840000e-03	6.844940e-04
-3.830000e-03	6.836779e-04
-3.820000e-03	6.828619e-04
-3.810000e-03	6.820458e-04
-3.800000e-03	6.812298e-04
-3.790000e-03	6.804137e-04
-3.780000e-03	6.795977e-04
-3.770000e-03	6.787816e-04
-3.760000e-03	6.779656e-04
-3.750000e-03	6.771495e-04
-3.740000e-03	6.763335e-04
-3.730000e-03	6.755174e-04
-3.720000e-03	6.747014e-04
-3.710000e-03	6.738853e-04
-3.700000e-03	6.730693e-04
-3.690000e-03	6.722532e-04
-3.680000e-03	6.714372e-04
-3.670000e-03	6.706211e-04
-3.660000e-03	6.698051e-04
-3.650000e-03	6.689890e-04
-3.640000e-03	6.681730e-04
-3.630000e-03	6.673569e-04
-3.620000e-03	6.665409e-04
-3.610000e-03	6.657248e-04
-3.600000e-03	6.649088e-04
-3.590000e-03	6.640927e-04
-3.580000e-03	6.632767e-04
-3.570000e-03	6.624606e-04
-3.560000e-03	6.616446e-04
-3.550000e-03	6.608285e-04
-3.540000e-03	6.600125e-04
-3.530000e-03	6.591964e-04
-3.520000e-03	6.583804e-04
-3.510000e-03	6.575643e-04
-3.500000e-03	6.567483e-04
-3.490000e-03	6.559322e-04
-3.480000e-03	6.551162e-04
-3.470000e-03	6.543002e-04
-3.460000e-03	6.534841e-04
-3.450000e-03	6.526681e-04
-3.440000e-03	6.518520e-04
-3.430000e-03	6.510360e-04
-3.420000e-03	6.502199e-04
-3.410000e-03	6.494039e-04
-3.400000e-03	6.485878e-04
-3.390000e-03	6.477718e-04
-3.380000e-03	6.469557e-04
-3.370000e-03	6.461397e-04
-3.360000e-03	6.453236e-04
-3.350000e-03	6.445076e-04
-3.340000e-03	6.436915e-04
-3.330000e-03	6.428755e-04
-3.320000e-03	6.420594e-04
-3.310000e-03	6.412434e-04
-3.300000e-03	6.404273e-04
-3.290000e-03	6.396113e-04
-3.280000e-03	6.387952e-04
-3.270000e-03	6.379792e-04
-3.260000e-03	6.371631e-04
-3.250000e-03	6.363471e-04
-3.240000e-03	6.355310e-04
-3.230000e-03	6.347150e-04
-3.220000e-03	6.338989e-04
-3.210000e-03	6.330829e-04
-3.200000e-03	6.322668e-04
-3.190000e-03	6.314508e-04
-3.180000e-03	6.306347e-04
-3.170000e-03	6.298187e-04
-3.160000e-03	6.290026e-04
-3.150000e-03	6.281866e-04
-3.140000e-03	6.273705e-04
-3.130000e-03	6.265545e-04
