z1_new_m	d2_new_long_m
-9.000000e-03	2.200667e-04
-8.990000e-03	2.199501e-04
-8.980000e-03	2.198336e-04
-8.970000e-03	2.197170e-04
-8.960000e-03	2.196004e-04
-8.950000e-03	2.194839e-04
-8.940000e-03	2.193673e-04
-8.930000e-03	2.192507e-04
-8.920000e-03	2.191341e-04
-8.910000e-03	2.190176e-04
-8.900000e-03	2.189010e-04
-8.890000e-03	2.187844e-04
-8.880000e-03	2.186679e-04
-8.870000e-03	2.185513e-04
-8.860000e-03	2.184347e-04
-8.850000e-03	2.183181e-04
-8.840000e-03	2.182016e-04
-8.830000e-03	2.180850e-04
-8.820000e-03	2.179684e-04
-8.810000e-03	2.178519e-04
-8.800000e-03	2.177353e-04
-8.790000e-03	2.176187e-04
-8.780000e-03	2.175021e-04
-8.770000e-03	2.173856e-04
-8.760000e-03	2.172690e-04
-8.750000e-03	2.171524e-04
-8.740000e-03	2.170359e-04
-8.730000e-03	2.169193e-04
-8.720000e-03	2.168027e-04
-8.710000e-03	2.166861e-04
-8.700000e-03	2.165696e-04
-8.690000e-03	2.164530e-04
-8.680000e-03	2.163364e-04
-8.670000e-03	2.162199e-04
-8.660000e-03	2.161033e-04
-8.650000e-03	2.159867e-04
-8.640000e-03	2.158701e-04
-8.630000e-03	2.157536e-04
-8.620000e-03	2.156370e-04
-8.610000e-03	2.155204e-04
-8.600000e-03	2.154039e-04
-8.590000e-03	2.152873e-04
-8.580000e-03	2.151707e-04
-8.570000e-03	2.150541e-04
-8.560000e-03	2.149376e-04
-8.550000e-03	2.148210e-04
-8.540000e-03	2.147044e-04
-8.530000e-03	2.145879e-04
-8.520000e-03	2.144713e-04
-8.510000e-03	2.143547e-04
-8.500000e-03	2.142381e-04
-8.490000e-03	2.141216e-04
-8.480000e-03	2.140050e-04
-8.470000e-03	2.138884e-04
-8.460000e-03	2.137719e-04
-8.450000e-03	2.136553e-04
-8.440000e-03	2.135387e-04
-8.430000e-03	2.134221e-04
-8.420000e-03	2.133056e-04
-8.410000e-03	2.131890e-04
-8.400000e-03	2.130724e-04
-8.390000e-03	2.129558e-04
-8.380000e-03	2.128393e-04
-8.370000e-03	2.127227e-04
-8.360000e-03	2.126061e-04
-8.350000e-03	2.124896e-04
-8.340000e-03	2.123730e-04
-8.330000e-03	2.122564e-04
-8.320000e-03	2.121398e-04
-8.310000e-03	2.120233e-04
-8.300000e-03	2.119067e-04
-8.290000e-03	2.117901e-04
-8.280000e-03	2.116736e-04
-8.270000e-03	2.115570e-04
-8.260000e-03	2.114404e-04
-8.250000e-03	2.113238e-04
-8.240000e-03	2.112073e-04
-8.230000e-03	2.110907e-04
-8.220000e-03	2.109741e-04
-8.210000e-03	2.108576e-04
-8.200000e-03	2.107410e-04
-8.190000e-03	2.106244e-04
-8.180000e-03	2.105078e-04
-8.170000e-03	2.103913e-04
-8.160000e-03	2.102747e-04
-8.150000e-03	2.101581e-04
-8.140000e-03	2.100416e-04
-8.130000e-03	2.099250e-04
-8.120000e-03	2.098084e-04
-8.110000e-03	2.096918e-04
-8.100000e-03	2.095753e-04
-8.090000e-03	2.094587e-04
-8.080000e-03	2.093421e-04
-8.070000e-03	2.092256e-04
-8.060000e-03	2.091090e-04
-8.050000e-03	2.089924e-04
-8.040000e-03	2.088758e-04
-8.030000e-03	2.087593e-04
-8.020000e-03	2.086427e-04
-8.010000e-03	2.085261e-04
-8.000000e-03	2.084096e-04
-7.990000e-03	2.082937e-04
-7.980000e-03	2.081779e-04
-7.970000e-03	2.080620e-04
-7.960000e-03	2.079461e-04
-7.950000e-03	2.078303e-04
-7.940000e-03	2.077144e-04
-7.930000e-03	2.075986e-04
-7.920000e-03	2.074827e-04
-7.910000e-03	2.073669e-04
-7.900000e-03	2.072510e-04
-7.890000e-03	2.071352e-04
-7.880000e-03	2.070193e-04
-7.870000e-03	2.069035e-04
-7.860000e-03	2.067876e-04
-7.850000e-03	2.066718e-04
-7.840000e-03	2.065559e-04
-7.830000e-03	2.064401e-04
-7.820000e-03	2.063242e-04
-7.810000e-03	2.062084e-04
-7.800000e-03	2.060925e-04
-7.790000e-03	2.059767e-04
-7.780000e-03	2.058608e-04
-7.770000e-03	2.057450e-04
-7.760000e-03	2.056291e-04
-7.750000e-03	2.055133e-04
-7.740000e-03	2.053974e-04
-7.730000e-03	2.052816e-04
-7.720000e-03	2.051657e-04
-7.710000e-03	2.050499e-04
-7.700000e-03	2.049340e-04
-7.690000e-03	2.048182e-04
-7.680000e-03	2.047023e-04
-7.670000e-03	2.045865e-04
-7.660000e-03	2.044706e-04
-7.650000e-03	2.043547e-04
-7.640000e-03	2.042389e-04
-7.630000e-03	2.041230e-04
-7.620000e-03	2.040072e-04
-7.610000e-03	2.038913e-04
-7.600000e-03	2.037755e-04
-7.590000e-03	2.036596e-04
-7.580000e-03	2.035438e-04
-7.570000e-03	2.034279e-04
-7.560000e-03	2.033121e-04
-7.550000e-03	2.031962e-04
-7.540000e-03	2.030804e-04
-7.530000e-03	2.029645e-04
-7.520000e-03	2.028487e-04
-7.510000e-03	2.027328e-04
-7.500000e-03	2.026170e-04
-7.490000e-03	2.025011e-04
-7.480000e-03	2.023853e-04
-7.470000e-03	2.022694e-04
-7.460000e-03	2.021536e-04
-7.450000e-03	2.020377e-04
-7.440000e-03	2.019219e-04
-7.430000e-03	2.018060e-04
-7.420000e-03	2.016902e-04
-7.410000e-03	2.015743e-04
-7.400000e-03	2.014585e-04
-7.390000e-03	2.013426e-04
-7.380000e-03	2.012268e-04
-7.370000e-03	2.011109e-04
-7.360000e-03	2.009951e-04
-7.350000e-03	2.008792e-04
-7.340000e-03	2.007633e-04
-7.330000e-03	2.006475e-04
-7.320000e-03	2.005316e-04
-7.310000e-03	2.004158e-04
-7.300000e-03	2.002999e-04
-7.290000e-03	2.001841e-04
-7.280000e-03	2.000682e-04
-7.270000e-03	1.999524e-04
-7.260000e-03	1.998365e-04
-7.250000e-03	1.997207e-04
-7.240000e-03	1.996048e-04
-7.230000e-03	1.994890e-04
-7.220000e-03	1.993731e-04
-7.210000e-03	1.992573e-04
-7.200000e-03	1.991414e-04
-7.190000e-03	1.990256e-04
-7.180000e-03	1.989097e-04
-7.170000e-03	1.987939e-04
-7.160000e-03	1.986780e-04
-7.150000e-03	1.985622e-04
-7.140000e-03	1.984463e-04
-7.130000e-03	1.983305e-04
-7.120000e-03	1.982146e-04
-7.110000e-03	1.980988e-04
-7.100000e-03	1.979829e-04
-7.090000e-03	1.978671e-04
-7.080000e-03	1.977512e-04
-7.070000e-03	1.976354e-04
-7.060000e-03	1.975195e-04
-7.050000e-03	1.974037e-04
-7.040000e-03	1.972878e-04
-7.030000e-03	1.971719e-04
-7.020000e-03	1.970561e-04
-7.010000e-03	1.969402e-04
-7.000000e-03	1.968244e-04
-6.990000e-03	1.967094e-04
-6.980000e-03	1.965944e-04
-6.970000e-03	1.964794e-04
-6.960000e-03	1.963644e-04
-6.950000e-03	1.962494e-04
-6.940000e-03	1.961344e-04
-6.930000e-03	1.960194e-04
-6.920000e-03	1.959044e-04
-6.910000e-03	1.957894e-04
-6.900000e-03	1.956744e-04
-6.890000e-03	1.955594e-04
-6.880000e-03	1.954444e-04
-6.870000e-03	1.953294e-04
-6.860000e-03	1.952144e-04
-6.850000e-03	1.950994e-04
-6.840000e-03	1.949844e-04
-6.830000e-03	1.948695e-04
-6.820000e-03	1.947545e-04
-6.810000e-03	1.946395e-04
-6.800000e-03	1.945245e-04
-6.790000e-03	1.944095e-04
-6.780000e-03	1.942945e-04
-6.770000e-03	1.941795e-04
-6.760000e-03	1.940645e-04
-6.750000e-03	1.939495e-04
-6.740000e-03	1.938345e-04
-6.730000e-03	1.937195e-04
-6.720000e-03	1.936045e-04
-6.710000e-03	1.934895e-04
-6.700000e-03	1.933745e-04
-6.690000e-03	1.932595e-04
-6.680000e-03	1.931445e-04
-6.670000e-03	1.930295e-04
-6.660000e-03	1.929145e-04
-6.650000e-03	1.927995e-04
-6.640000e-03	1.926845e-04
-6.630000e-03	1.925695e-04
-6.620000e-03	1.924545e-04
-6.610000e-03	1.923395e-04
-6.600000e-03	1.922245e-04
-6.590000e-03	1.921095e-04
-6.580000e-03	1.919945e-04
-6.570000e-03	1.918795e-04
-6.560000e-03	1.917645e-04
-6.550000e-03	1.916495e-04
-6.540000e-03	1.915345e-04
-6.530000e-03	1.914196e-04
-6.520000e-03	1.913046e-04
-6.510000e-03	1.911896e-04
-6.500000e-03	1.910746e-04
-6.490000e-03	1.909596e-04
-6.480000e-03	1.908446e-04
-6.470000e-03	1.907296e-04
-6.460000e-03	1.906146e-04
-6.450000e-03	1.904996e-04
-6.440000e-03	1.903846e-04
-6.430000e-03	1.902696e-04
-6.420000e-03	1.901546e-04
-6.410000e-03	1.900396e-04
-6.400000e-03	1.899246e-04
-6.390000e-03	1.898096e-04
-6.380000e-03	1.896946e-04
-6.370000e-03	1.895796e-04
-6.360000e-03	1.894646e-04
-6.350000e-03	1.893496e-04
-6.340000e-03	1.892346e-04
-6.330000e-03	1.891196e-04
-6.320000e-03	1.890046e-04
-6.310000e-03	1.888896e-04
-6.300000e-03	1.887746e-04
-6.290000e-03	1.886596e-04
-6.280000e-03	1.885446e-04
-6.270000e-03	1.884296e-04
-6.260000e-03	1.883146e-04
-6.250000e-03	1.881996e-04
-6.240000e-03	1.880847e-04
-6.230000e-03	1.879697e-04
-6.220000e-03	1.878547e-04
-6.210000e-03	1.877397e-04
