z1_new_m	d1_new_long_m
-9.000000e-03	2.468975e-04
-8.990000e-03	2.467708e-04
-8.980000e-03	2.466440e-04
-8.970000e-03	2.465173e-04
-8.960000e-03	2.463906e-04
-8.950000e-03	2.462639e-04
-8.940000e-03	2.461371e-04
-8.930000e-03	2.460104e-04
-8.920000e-03	2.458837e-04
-8.910000e-03	2.457570e-04
-8.900000e-03	2.456302e-04
-8.890000e-03	2.455035e-04
-8.880000e-03	2.453768e-04
-8.870000e-03	2.452501e-04
-8.860000e-03	2.451233e-04
-8.850000e-03	2.449966e-04
-8.840000e-03	2.448699e-04
-8.830000e-03	2.447432e-04
-8.820000e-03	2.446164e-04
-8.810000e-03	2.444897e-04
-8.800000e-03	2.443630e-04
-8.790000e-03	2.442363e-04
-8.780000e-03	2.441095e-04
-8.770000e-03	2.439828e-04
-8.760000e-03	2.438561e-04
-8.750000e-03	2.437293e-04
-8.740000e-03	2.436026e-04
-8.730000e-03	2.434759e-04
-8.720000e-03	2.433492e-04
-8.710000e-03	2.432224e-04
-8.700000e-03	2.430957e-04
-8.690000e-03	2.429690e-04
-8.680000e-03	2.428423e-04
-8.670000e-03	2.427155e-04
-8.660000e-03	2.425888e-04
-8.650000e-03	2.424621e-04
-8.640000e-03	2.423354e-04
-8.630000e-03	2.422086e-04
-8.620000e-03	2.420819e-04
-8.610000e-03	2.419552e-04
-8.600000e-03	2.418285e-04
-8.590000e-03	2.417017e-04
-8.580000e-03	2.415750e-04
-8.570000e-03	2.414483e-04
-8.560000e-03	2.413216e-04
-8.550000e-03	2.411948e-04
-8.540000e-03	2.410681e-04
-8.530000e-03	2.409414e-04
-8.520000e-03	2.408147e-04
-8.510000e-03	2.406879e-04
-8.500000e-03	2.405612e-04
-8.490000e-03	2.404345e-04
-8.480000e-03	2.403078e-04
-8.470000e-03	2.401810e-04
-8.460000e-03	2.400543e-04
-8.450000e-03	2.399276e-04
-8.440000e-03	2.398009e-04
-8.430000e-03	2.396741e-04
-8.420000e-03	2.395474e-04
-8.410000e-03	2.394207e-04
-8.400000e-03	2.392940e-04
-8.390000e-03	2.391672e-04
-8.380000e-03	2.390405e-04
-8.370000e-03	2.389138e-04
-8.360000e-03	2.387871e-04
-8.350000e-03	2.386603e-04
-8.340000e-03	2.385336e-04
-8.330000e-03	2.384069e-04
-8.320000e-03	2.382802e-04
-8.310000e-03	2.381534e-04
-8.300000e-03	2.380267e-04
-8.290000e-03	2.379000e-04
-8.280000e-03	2.377733e-04
-8.270000e-03	2.376465e-04
-8.260000e-03	2.375198e-04
-8.250000e-03	2.373931e-04
-8.240000e-03	2.372664e-04
-8.230000e-03	2.371396e-04
-8.220000e-03	2.370129e-04
-8.210000e-03	2.368862e-04
-8.200000e-03	2.367595e-04
-8.190000e-03	2.366327e-04
-8.180000e-03	2.365060e-04
-8.170000e-03	2.363793e-04
-8.160000e-03	2.362526e-04
-8.150000e-03	2.361258e-04
-8.140000e-03	2.359991e-04
-8.130000e-03	2.358724e-04
-8.120000e-03	2.357457e-04
-8.110000e-03	2.356189e-04
-8.100000e-03	2.354922e-04
-8.090000e-03	2.353655e-04
-8.080000e-03	2.352388e-04
-8.070000e-03	2.351120e-04
-8.060000e-03	2.349853e-04
-8.050000e-03	2.348586e-04
-8.040000e-03	2.347319e-04
-8.030000e-03	2.346051e-04
-8.020000e-03	2.344784e-04
-8.010000e-03	2.343517e-04
-8.000000e-03	2.342250e-04
-7.990000e-03	2.340988e-04
-7.980000e-03	2.339725e-04
-7.970000e-03	2.338463e-04
-7.960000e-03	2.337201e-04
