z1_new_m	d1_new_long_m
5.000000e-03	2.378495e-04
5.010000e-03	2.377460e-04
5.020000e-03	2.376424e-04
5.030000e-03	2.375389e-04
5.040000e-03	2.374353e-04
5.050000e-03	2.373318e-04
5.060000e-03	2.372282e-04
5.070000e-03	2.371247e-04
5.080000e-03	2.370211e-04
5.090000e-03	2.369176e-04
5.100000e-03	2.368140e-04
5.110000e-03	2.367105e-04
5.120000e-03	2.366070e-04
5.130000e-03	2.365034e-04
5.140000e-03	2.363999e-04
5.150000e-03	2.362963e-04
5.160000e-03	2.361928e-04
5.170000e-03	2.360892e-04
5.180000e-03	2.359857e-04
5.190000e-03	2.358821e-04
5.200000e-03	2.357786e-04
5.210000e-03	2.356750e-04
5.220000e-03	2.355715e-04
5.230000e-03	2.354679e-04
5.240000e-03	2.353644e-04
5.250000e-03	2.352608e-04
5.260000e-03	2.351573e-04
5.270000e-03	2.350538e-04
5.280000e-03	2.349502e-04
5.290000e-03	2.348467e-04
5.300000e-03	2.347431e-04
5.310000e-03	2.346396e-04
5.320000e-03	2.345360e-04
5.330000e-03	2.344325e-04
5.340000e-03	2.343289e-04
5.350000e-03	2.342254e-04
5.360000e-03	2.341218e-04
5.370000e-03	2.340183e-04
5.380000e-03	2.339147e-04
5.390000e-03	2.338112e-04
5.400000e-03	2.337077e-04
5.410000e-03	2.336041e-04
5.420000e-03	2.335006e-04
5.430000e-03	2.333970e-04
5.440000e-03	2.332935e-04
5.450000e-03	2.331899e-04
5.460000e-03	2.330864e-04
5.470000e-03	2.329828e-04
5.480000e-03	2.328793e-04
5.490000e-03	2.327757e-04
5.500000e-03	2.326722e-04
5.510000e-03	2.325686e-04
5.520000e-03	2.324651e-04
5.530000e-03	2.323615e-04
5.540000e-03	2.322580e-04
5.550000e-03	2.321545e-04
5.560000e-03	2.320509e-04
5.570000e-03	2.319474e-04
5.580000e-03	2.318438e-04
5.590000e-03	2.317403e-04
5.600000e-03	2.316367e-04
5.610000e-03	2.315332e-04
5.620000e-03	2.314296e-04
5.630000e-03	2.313261e-04
5.640000e-03	2.312225e-04
5.650000e-03	2.311190e-04
5.660000e-03	2.310154e-04
5.670000e-03	2.309119e-04
5.680000e-03	2.308083e-04
5.690000e-03	2.307048e-04
5.700000e-03	2.306013e-04
5.710000e-03	2.304977e-04
5.720000e-03	2.303942e-04
5.730000e-03	2.302906e-04
5.740000e-03	2.301871e-04
5.750000e-03	2.300835e-04
5.760000e-03	2.299800e-04
5.770000e-03	2.298764e-04
5.780000e-03	2.297729e-04
5.790000e-03	2.296693e-04
5.800000e-03	2.295658e-04
5.810000e-03	2.294622e-04
5.820000e-03	2.293587e-04
5.830000e-03	2.292551e-04
5.840000e-03	2.291516e-04
5.850000e-03	2.290481e-04
5.860000e-03	2.289445e-04
5.870000e-03	2.288410e-04
5.880000e-03	2.287374e-04
5.890000e-03	2.286339e-04
5.900000e-03	2.285303e-04
5.910000e-03	2.284268e-04
5.920000e-03	2.283232e-04
5.930000e-03	2.282197e-04
5.940000e-03	2.281161e-04
5.950000e-03	2.280126e-04
5.960000e-03	2.279090e-04
5.970000e-03	2.278055e-04
5.980000e-03	2.277020e-04
5.990000e-03	2.275984e-04
6.000000e-03	2.274949e-04
6.010000e-03	2.273921e-04
