Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0022241
Sensor,S401C
Sensor SN,1911562
Sensor Type,Thermopile
Wavelength,1030 nm
Range,Auto

Start of Measurement,5/27/2026 17:41:32
Elapsed Time,00:00:19:989
Samples,3497

--Statistics--
Minimum [W],0.00085005
Maximum [W],0.00086843
Mean [W],0.00086007
Standard Deviation [W],3.6785E-06
Ratio,1.022 : 1

--Graph Data--
Time (ms),Power (W)
9.551,0.00085961
12.743,0.00085937
15.711,0.00085863
18.729,0.00086035
21.906,0.00085814
24.971,0.00085937
28.040,0.00085839
31.148,0.00085839
34.036,0.00085888
37.105,0.00085961
66.979,0.00085863
70.689,0.00085912
73.739,0.00086059
76.807,0.00085839
79.950,0.00085912
83.045,0.00085912
86.046,0.00086133
89.032,0.00085912
121.187,0.00085912
125.100,0.00085888
128.070,0.00085643
131.220,0.00085888
134.063,0.00085961
137.063,0.00086059
166.733,0.00085863
170.290,0.00085937
173.773,0.00086035
176.743,0.00086133
179.669,0.00085937
182.733,0.00086108
185.741,0.00085961
188.733,0.00085961
218.265,0.00086133
221.787,0.0008601
224.731,0.0008601
227.677,0.00085986
231.399,0.00085912
234.401,0.00085888
237.374,0.00085986
266.763,0.0008601
269.952,0.00085937
273.029,0.00085863
276.065,0.00085839
279.165,0.00085961
282.268,0.00085692
285.402,0.0008579
288.379,0.0008579
294.716,0.0008579
298.194,0.00085814
301.303,0.00085839
304.414,0.00085912
307.336,0.0008601
310.328,0.00086059
313.399,0.00085912
316.404,0.00085765
319.327,0.00085961
322.574,0.0008601
325.679,0.00085961
328.702,0.00085814
331.809,0.00085912
334.702,0.00085863
337.709,0.00085863
367.409,0.00085839
371.056,0.00085692
374.268,0.00085912
377.373,0.00085839
380.414,0.00085765
383.353,0.00085814
386.643,0.00085765
389.936,0.00085716
419.975,0.00085765
423.287,0.00085961
426.287,0.00085765
429.286,0.00085961
432.326,0.00085986
435.350,0.00085888
438.320,0.00085643
467.807,0.00085814
471.145,0.00085765
474.705,0.0008552
477.823,0.00085765
480.922,0.00085765
484.064,0.00085692
487.060,0.0008579
490.330,0.0008579
522.103,0.0008579
525.372,0.00085716
528.373,0.00085618
531.980,0.00085765
534.978,0.0008579
537.984,0.0008579
567.415,0.00085765
570.784,0.00085839
573.924,0.00085765
576.996,0.00085667
580.251,0.00085912
583.288,0.00085814
586.284,0.00085814
589.257,0.00085863
593.181,0.00085643
596.789,0.0008579
599.723,0.00085863
602.711,0.00085839
605.718,0.00085594
608.719,0.00085839
611.987,0.00085863
614.976,0.00085839
617.973,0.00085692
620.975,0.00085716
624.035,0.00085741
626.988,0.00085741
630.234,0.00085863
632.974,0.00085888
635.975,0.00085937
639.002,0.0008579
668.750,0.00085692
672.473,0.00085716
675.305,0.00085839
678.371,0.00085986
681.710,0.00085814
684.710,0.00085765
687.721,0.00085667
720.013,0.00085594
723.786,0.00085741
726.703,0.00085716
729.707,0.0008579
732.732,0.0008579
735.995,0.00085741
738.976,0.00085765
768.485,0.00085814
772.485,0.00085986
775.442,0.00085618
778.381,0.00085765
781.473,0.00085937
784.262,0.00085667
787.284,0.00085765
816.765,0.00085839
820.147,0.00085912
823.056,0.00085569
826.066,0.00085692
829.067,0.00085618
832.792,0.00085618
835.712,0.00085618
838.716,0.00085741
868.190,0.00085741
871.756,0.0008579
874.626,0.00085765
877.781,0.00085888
881.194,0.00085741
884.061,0.00085814
887.000,0.00086035
890.322,0.00085692
896.938,0.00085667
900.360,0.00085716
903.464,0.00085716
906.388,0.00085839
909.283,0.00085692
912.922,0.00085716
916.593,0.00085545
919.964,0.00085716
923.057,0.00085716
926.070,0.00085814
929.062,0.00085692
932.168,0.00085667
935.060,0.00085667
938.063,0.00085961
967.971,0.00085912
971.813,0.00085741
975.123,0.00085716
977.982,0.00085569
980.998,0.00085741
983.976,0.00085716
986.980,0.00085961
1017.709,0.00085888
1021.597,0.00085912
1024.652,0.00085716
1027.710,0.00085888
1030.813,0.00085814
1033.705,0.00085618
1036.736,0.00085692
1039.616,0.00085716
1069.166,0.0008579
1072.991,0.00085814
1076.083,0.0008579
1079.067,0.00085741
1082.366,0.00085888
1085.306,0.00085765
1088.407,0.00085643
1120.518,0.00085863
1123.817,0.00085912
1126.704,0.00085888
1129.697,0.00085839
1133.164,0.00085863
1136.038,0.00085863
1139.083,0.00086084
1168.611,0.00085986
1172.639,0.00085888
1175.697,0.00085814
1178.706,0.00085937
1181.713,0.0008601
1184.691,0.0008579
1188.281,0.00085765
1192.270,0.00085888
1195.720,0.00085814
1198.606,0.0008601
1201.654,0.00085912
1205.084,0.00085937
1208.057,0.00086035
1211.165,0.00085888
1214.029,0.00085888
1217.373,0.00085863
1220.525,0.00085765
1223.285,0.00085912
1226.392,0.00086035
1229.420,0.00085961
1232.505,0.0008579
1235.386,0.00085814
1238.566,0.00085839
1268.417,0.00085986
1272.358,0.00085937
1275.386,0.00085937
1278.401,0.00085986
1281.516,0.00085937
1284.653,0.0008628
1288.325,0.00085912
1320.483,0.00085961
1324.349,0.0008601
1327.381,0.00086084
1330.477,0.00086035
1333.372,0.00085986
1336.369,0.00086108
1339.444,0.00086206
1369.138,0.00086133
1373.095,0.00086182
1376.133,0.00086133
1379.024,0.00086231
1382.039,0.00086108
1385.023,0.00086035
1388.360,0.00086108
1417.941,0.00086206
1421.634,0.00086084
1424.605,0.00086157
1427.631,0.00086059
1431.260,0.00086108
1434.373,0.00086255
1437.375,0.00086231
1466.875,0.00086329
1470.304,0.00086157
1473.385,0.00086329
1476.371,0.00086206
1479.441,0.00086182
1482.939,0.00086255
1485.918,0.00086329
1488.971,0.00086304
1495.424,0.00086182
1498.833,0.00086157
1502.072,0.00086182
1505.069,0.00086231
1508.016,0.00086157
1511.022,0.00086059
1514.002,0.00085912
1517.000,0.00086255
1520.219,0.00086108
1523.285,0.00086231
1526.232,0.00086059
1529.295,0.0008628
1532.381,0.00086182
1535.335,0.00086084
1538.358,0.00086329
1568.146,0.00086133
1572.070,0.00086182
1575.193,0.00086133
1578.330,0.00086133
1581.421,0.00086133
1584.312,0.00086035
1587.315,0.00086133
1616.954,0.00086133
1620.722,0.00086084
1624.103,0.0008601
1627.030,0.0008601
1630.228,0.00086133
1633.356,0.00086059
1636.356,0.00086084
1639.389,0.00086157
1668.899,0.00086182
1672.821,0.00085986
1675.684,0.00086059
1678.699,0.00085986
1681.789,0.00086059
1684.860,0.00086084
1687.669,0.00086084
1719.498,0.00086133
1723.107,0.00086206
1725.953,0.00086133
1729.030,0.00086304
1732.792,0.00086133
1735.642,0.0008628
1738.632,0.00086157
1768.071,0.00085937
1771.423,0.00086182
1774.300,0.00086157
1777.289,0.00086059
1780.382,0.0008628
1783.310,0.00086182
1786.310,0.00086133
1789.312,0.00086084
1793.231,0.0008601
1796.641,0.00086451
1799.703,0.00086059
1802.639,0.00086059
1805.627,0.00086035
1808.625,0.00086035
1811.587,0.00086206
1814.626,0.00086108
