Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0022241
Sensor,S401C
Sensor SN,1911562
Sensor Type,Thermopile
Wavelength,1030 nm
Range,Auto

Start of Measurement,5/27/2026 17:40:57
Elapsed Time,00:00:19:980
Samples,3454

--Statistics--
Minimum [W],0.0008454
Maximum [W],0.00086819
Mean [W],0.00085666
Standard Deviation [W],3.458E-06
Ratio,1.027 : 1

--Graph Data--
Time (ms),Power (W)
9.553,0.00085765
12.626,0.00085814
15.706,0.00085839
18.505,0.00085863
21.731,0.00085912
24.735,0.00085643
27.772,0.0008579
30.668,0.00085986
61.014,0.00085618
64.256,0.00085814
67.345,0.00085863
70.533,0.0008579
73.591,0.00085716
76.624,0.00085741
79.751,0.00085814
111.957,0.00085839
116.101,0.00085814
119.256,0.00085839
122.282,0.00085716
125.208,0.00085716
128.236,0.00085765
157.748,0.00085863
161.328,0.00085888
164.947,0.00085863
167.832,0.00085888
171.167,0.00085937
174.377,0.00085814
177.257,0.00086035
180.272,0.00085814
209.717,0.00085667
212.885,0.00085643
215.943,0.00085912
218.884,0.00085937
222.639,0.00085961
226.187,0.00085716
229.283,0.00085765
258.742,0.00085618
262.303,0.00085912
265.341,0.00085839
268.276,0.0008579
271.411,0.0008601
274.196,0.0008601
277.229,0.0008579
280.551,0.00085937
287.243,0.00085961
290.199,0.00085741
293.425,0.00085643
296.216,0.00086035
299.233,0.00085961
302.262,0.00085839
305.872,0.00086133
308.871,0.0008579
311.972,0.00085569
314.866,0.00085765
317.919,0.00085839
321.132,0.00085667
324.236,0.00085961
327.245,0.00085765
330.230,0.00085937
360.080,0.00085937
363.684,0.00086035
367.298,0.00085986
370.211,0.00085912
373.338,0.0008601
376.274,0.00085937
379.324,0.00085814
409.773,0.00085912
413.822,0.00085912
417.213,0.00085937
420.319,0.00085912
424.161,0.00085912
427.441,0.00085937
430.282,0.00085986
459.762,0.00085986
463.463,0.00085814
466.549,0.00085986
469.540,0.00086084
472.597,0.0008579
475.544,0.00085937
478.587,0.00085888
510.497,0.00085888
513.878,0.00085961
516.882,0.00086157
519.947,0.00086206
523.602,0.00085986
526.530,0.00085839
529.528,0.00086059
560.026,0.00085986
563.100,0.00086133
566.254,0.00086059
569.268,0.00086035
572.319,0.00085986
575.657,0.00086108
578.496,0.00086084
582.026,0.00086206
585.822,0.00086059
588.910,0.0008601
591.961,0.00085986
594.858,0.00086084
597.896,0.00086133
601.140,0.00085863
604.311,0.00086059
607.289,0.00086231
610.238,0.00085814
613.838,0.00086182
616.910,0.00085986
619.997,0.00086157
623.008,0.00086304
625.966,0.00086084
629.020,0.00086108
659.889,0.00086133
663.034,0.00086108
665.973,0.00086084
668.919,0.00086035
672.020,0.00086206
674.949,0.0008601
677.937,0.00085961
710.865,0.00086255
714.446,0.00086035
717.619,0.00086035
720.584,0.00085814
723.649,0.00086084
727.073,0.00086108
730.334,0.00085961
760.040,0.00086133
763.497,0.00086059
767.089,0.00086084
770.321,0.00085937
773.548,0.00085814
776.653,0.00086108
779.601,0.00085937
809.066,0.00086084
812.436,0.00085912
815.297,0.0008601
818.274,0.00086108
821.345,0.00085961
824.922,0.00086035
828.154,0.00085986
857.580,0.00086059
861.170,0.00086035
864.321,0.00086157
867.312,0.00086157
870.305,0.00086157
873.551,0.00086108
876.553,0.00086157
879.553,0.00086059
885.945,0.00086133
889.332,0.00086304
892.477,0.00086182
895.684,0.00086133
898.515,0.00086206
901.706,0.00086182
904.588,0.00086206
907.936,0.0008628
911.188,0.00086108
914.301,0.00086255
917.264,0.00086059
920.310,0.00086451
923.707,0.00086133
926.590,0.00086108
929.574,0.00086084
959.317,0.0008628
963.044,0.00086059
966.308,0.00086182
969.299,0.00086206
972.357,0.00086035
975.289,0.00085961
978.327,0.00086059
1008.182,0.0008628
1011.963,0.00085912
1014.946,0.00086084
1017.983,0.00085961
1021.331,0.00086035
1024.424,0.00086059
1027.605,0.00086059
1030.882,0.00086084
1060.641,0.00086084
1064.179,0.00086255
1067.368,0.00086182
1070.431,0.00086035
1073.636,0.00086059
1076.580,0.00085986
1079.709,0.00086231
1111.618,0.00086133
1115.369,0.00085912
1118.617,0.00086182
1122.476,0.00086255
1125.516,0.00085912
1128.613,0.00086182
1158.089,0.0008601
1161.439,0.00086157
1164.563,0.00086059
1167.513,0.00086059
1170.520,0.00086084
1173.513,0.00085937
1176.520,0.0008601
1179.512,0.00086133
1183.449,0.00085961
1186.860,0.00086035
1189.861,0.00085937
1192.893,0.00086133
1196.024,0.00086035
1198.872,0.00085937
1201.882,0.00086035
1204.869,0.00085937
1207.857,0.00086084
1211.097,0.00086084
1214.278,0.00085937
1217.248,0.00086255
1220.247,0.00086133
1223.257,0.00086059
1226.234,0.00086059
1229.241,0.00086108
1258.970,0.00085986
1262.684,0.00086231
1265.688,0.00086255
1268.516,0.00086084
1271.611,0.00086182
1274.723,0.00086329
1277.717,0.00086108
1280.590,0.00086084
1312.966,0.00085839
1316.588,0.00086084
1319.496,0.0008579
1322.475,0.00086035
1325.522,0.00086182
1328.546,0.00086182
1358.157,0.00086059
1361.760,0.00085937
1365.427,0.00085888
1368.716,0.00086084
1371.821,0.00085937
1374.914,0.00086108
1377.905,0.00086035
1381.150,0.00085961
1411.404,0.00085937
1414.663,0.00086084
1417.510,0.00085912
1420.532,0.00085716
1424.082,0.00085765
1427.295,0.00085741
1430.233,0.00086059
1459.938,0.00085961
1463.726,0.00085912
1466.950,0.00085863
1469.944,0.00085765
1473.046,0.00085741
1475.950,0.00085937
1478.926,0.00085863
1485.578,0.00085839
1489.216,0.00085716
1492.339,0.00085839
1495.376,0.00085937
1498.565,0.00085814
1501.667,0.00085741
1504.618,0.00085986
1507.696,0.00085888
1510.876,0.00085839
1513.939,0.00085839
1517.014,0.00085692
1520.027,0.00085692
1523.324,0.00085741
1526.315,0.00085692
1529.288,0.00085692
1559.128,0.00085716
1563.009,0.00085643
1566.205,0.00085545
1569.323,0.00085471
1572.415,0.00085618
1575.711,0.00085545
1579.237,0.00085569
1609.024,0.00085545
1612.842,0.00085839
1615.919,0.00085667
1618.960,0.00085716
1622.055,0.00085569
1624.925,0.00085716
1627.924,0.00085643
1657.705,0.00085667
1661.309,0.00085937
1665.024,0.00085569
1668.056,0.00085716
1671.284,0.00085716
1674.422,0.00085716
1677.718,0.00085618
1680.963,0.00085937
1713.033,0.00085643
1716.324,0.00085814
1719.342,0.00085692
1723.158,0.00085912
1726.436,0.00085814
1729.736,0.00085716
1759.240,0.00085863
1762.535,0.00085643
1765.604,0.00085569
1768.917,0.00085741
1772.032,0.00085765
1775.287,0.00085692
1778.331,0.00085741
1782.001,0.00085692
1785.705,0.00085814
1788.617,0.00085594
1791.648,0.0008579
1794.538,0.00085765
1797.513,0.00085422
1800.612,0.00085569
1803.607,0.00085667
1806.523,0.00085618
1809.501,0.00085569
1812.612,0.00085594
1815.583,0.00085692
1818.626,0.00085618
1821.645,0.00085716
1824.626,0.00085692
